"","group","Var1","Var2","r","adj.p","n","significant","label"
"58","BRCA","SBS2","Signature 4",0.37,6.62060714912047e-13,364,1,"BRCA 
 (n=364)"
"59","BRCA","SBS3","Signature 4",0.66,2.34013568068552e-26,206,1,"BRCA 
 (n=206)"
"60","BRCA","SBS4","Signature 4",0,1,0,NA,"BRCA 
 (n=0)"
"61","BRCA","SBS13","Signature 4",0.54,1.06938721065263e-25,335,1,"BRCA 
 (n=335)"
"62","BRCA","SBS15","Signature 4",0,0.924352175191202,18,0,"BRCA 
 (n=18)"
"63","BRCA","SBS20","Signature 4",0,1,1,NA,"BRCA 
 (n=1)"
"64","BRCA","SBS44","Signature 4",0,0,6,1,"BRCA 
 (n=6)"
"65","COADREAD","SBS1","Signature 1",0.35,2.22255294268267e-06,202,1,"COADREAD 
 (n=202)"
"66","COADREAD","SBS2","Signature 1",0,0.0047525682231985,20,1,"COADREAD 
 (n=20)"
"67","COADREAD","SBS3","Signature 1",0,1,5,0,"COADREAD 
 (n=5)"
"68","COADREAD","SBS4","Signature 1",0,1,0,NA,"COADREAD 
 (n=0)"
"69","COADREAD","SBS13","Signature 1",0,0.0128891536096228,16,1,"COADREAD 
 (n=16)"
"70","COADREAD","SBS15","Signature 1",0,0.114524488204836,20,0,"COADREAD 
 (n=20)"
"71","COADREAD","SBS20","Signature 1",0,0.10358322930202,8,0,"COADREAD 
 (n=8)"
"72","COADREAD","SBS44","Signature 1",0,0.818394011092089,18,0,"COADREAD 
 (n=18)"
"73","COADREAD","SBS1","Signature 2",0.33,4.57805948812569e-06,216,1,"COADREAD 
 (n=216)"
"74","COADREAD","SBS2","Signature 2",0,0.113413431713205,19,0,"COADREAD 
 (n=19)"
"75","COADREAD","SBS3","Signature 2",0,0.379675973153725,5,0,"COADREAD 
 (n=5)"
"76","COADREAD","SBS4","Signature 2",0,1,0,NA,"COADREAD 
 (n=0)"
"77","COADREAD","SBS13","Signature 2",0,0.121883158373002,16,0,"COADREAD 
 (n=16)"
"78","COADREAD","SBS15","Signature 2",0,0.0980936424674016,19,0,"COADREAD 
 (n=19)"
"79","COADREAD","SBS20","Signature 2",0,0.10358322930202,8,0,"COADREAD 
 (n=8)"
"80","COADREAD","SBS44","Signature 2",0,0.288254388930972,15,0,"COADREAD 
 (n=15)"
"81","COADREAD","SBS1","Signature 3",0.49,1.7086860892244e-14,232,1,"COADREAD 
 (n=232)"
"82","COADREAD","SBS2","Signature 3",0,0.836884300181518,24,0,"COADREAD 
 (n=24)"
"83","COADREAD","SBS3","Signature 3",0,1,4,0,"COADREAD 
 (n=4)"
"84","COADREAD","SBS4","Signature 3",0,1,0,NA,"COADREAD 
 (n=0)"
"85","COADREAD","SBS13","Signature 3",0,1,21,0,"COADREAD 
 (n=21)"
"86","COADREAD","SBS15","Signature 3",0,1.86735032424781e-05,20,1,"COADREAD 
 (n=20)"
"87","COADREAD","SBS20","Signature 3",0,0.0479713819269448,8,1,"COADREAD 
 (n=8)"
"88","COADREAD","SBS44","Signature 3",0,0.189854475377512,15,0,"COADREAD 
 (n=15)"
"89","COADREAD","SBS1","Signature 4",0.6,4.70737313536597e-24,248,1,"COADREAD 
 (n=248)"
"90","COADREAD","SBS2","Signature 4",0,0.513947702655497,24,0,"COADREAD 
 (n=24)"
"91","COADREAD","SBS3","Signature 4",0,0.230152524167562,6,0,"COADREAD 
 (n=6)"
"92","COADREAD","SBS4","Signature 4",0,1,0,NA,"COADREAD 
 (n=0)"
"93","COADREAD","SBS13","Signature 4",0,0.689703672607115,22,0,"COADREAD 
 (n=22)"
"94","COADREAD","SBS15","Signature 4",0,0.00148756614051219,21,1,"COADREAD 
 (n=21)"
"95","COADREAD","SBS20","Signature 4",0,0.0980936424674016,7,0,"COADREAD 
 (n=7)"
"96","COADREAD","SBS44","Signature 4",0,0.230152524167562,16,0,"COADREAD 
 (n=16)"
"97","GBM","SBS1","Signature 1",-0.04,0.666666666666667,190,0,"GBM 
 (n=190)"
"98","GBM","SBS2","Signature 1",0,0,3,1,"GBM 
 (n=3)"
"99","GBM","SBS3","Signature 1",0,1,0,NA,"GBM 
 (n=0)"
"100","GBM","SBS4","Signature 1",0,1,0,NA,"GBM 
 (n=0)"
"101","GBM","SBS13","Signature 1",0,1,2,NA,"GBM 
 (n=2)"
"102","GBM","SBS15","Signature 1",0,0.666666666666667,3,0,"GBM 
 (n=3)"
"103","GBM","SBS20","Signature 1",0,1,0,NA,"GBM 
 (n=0)"
"104","GBM","SBS44","Signature 1",0,1,0,NA,"GBM 
 (n=0)"
"105","GBM","SBS1","Signature 2",-0.12,0.23961914382267,179,0,"GBM 
 (n=179)"
